Date,Number of Crimes,Rain,Average Temp (NOAA),Average Temp (Wunderland),Average Temp (Combined)
2019-01-01,506,NO,50.0,49.1,49.55
2020-01-01,552,NO,53.5,53.2,53.35
2021-01-01,456,YES,51.5,50.0,50.75
2019-01-02,396,NO,49.5,46.3,47.9
2020-01-02,416,NO,55.0,52.8,53.9
2021-01-02,320,YES,50.0,51.9,50.95
2019-01-03,391,NO,49.5,46.3,47.9
2020-01-03,404,NO,53.5,52.3,52.9
2021-01-03,285,NO,50.5,51.1,50.8
2019-01-04,426,NO,50.5,48.9,49.7
2020-01-04,366,NO,54.0,54.1,54.05
2021-01-04,325,YES,54.5,55.9,55.2
2019-01-05,393,YES,53.0,52.0,52.5
2020-01-05,386,NO,51.5,51.5,51.5
2021-01-05,352,NO,50.0,50.7,50.35
2019-01-06,284,YES,53.0,53.6,53.3
2020-01-06,377,NO,52.0,50.7,51.35
2021-01-06,337,YES,50.5,47.9,49.2
2019-01-07,348,NO,54.5,57.5,56.0
2020-01-07,350,YES,51.0,50.7,50.85
2021-01-07,343,NO,53.0,51.9,52.45
2019-01-08,399,YES,55.5,53.3,54.4
2020-01-08,393,NO,52.0,53.1,52.55
2021-01-08,371,YES,52.5,53.0,52.75
2019-01-09,406,YES,57.5,59.8,58.65
2020-01-09,384,YES,51.0,51.5,51.25
2021-01-09,277,NO,52.0,49.7,50.85
2019-01-10,402,NO,54.5,53.2,53.85
2020-01-10,505,NO,51.5,49.8,50.65
2021-01-10,287,NO,50.5,50.7,50.6
2019-01-11,392,YES,53.5,54.8,54.15
2020-01-11,399,YES,51.0,51.3,51.15
2021-01-11,334,NO,52.5,51.8,52.15
2019-01-12,363,NO,56.5,58.4,57.45
2020-01-12,393,NO,50.0,50.0,50.0
2021-01-12,290,NO,54.5,53.5,54.0
2019-01-13,354,NO,54.0,55.2,54.6
2020-01-13,393,YES,50.5,51.8,51.15
2021-01-13,371,NO,57.5,57.0,57.25
2019-01-14,406,YES,54.5,52.9,53.7
2020-01-14,448,YES,51.0,51.4,51.2
2021-01-14,353,NO,57.5,55.1,56.3
2019-01-15,352,YES,53.5,51.2,52.35
2020-01-15,408,NO,48.5,47.0,47.75
2021-01-15,397,NO,58.5,56.8,57.65
2019-01-16,343,YES,57.0,55.4,56.2
2020-01-16,371,YES,46.5,48.7,47.6
2021-01-16,374,NO,59.5,54.8,57.15
2019-01-17,364,YES,55.5,58.5,57.0
2020-01-17,420,NO,48.5,47.2,47.85
2021-01-17,318,NO,62.5,58.7,60.6
2019-01-18,398,NO,57.0,59.8,58.4
2020-01-18,353,NO,50.0,49.5,49.75
2021-01-18,309,NO,64.5,62.9,63.7
2019-01-19,476,NO,60.0,60.7,60.35
2020-01-19,361,NO,50.5,49.4,49.95
2021-01-19,315,NO,61.0,58.4,59.7
2019-01-20,291,YES,54.0,56.5,55.25
2020-01-20,373,NO,52.0,51.3,51.65
2021-01-20,419,NO,57.0,55.1,56.05
2019-01-21,403,NO,53.0,55.5,54.25
2020-01-21,360,YES,54.0,54.5,54.25
2021-01-21,369,NO,48.5,49.7,49.1
2019-01-22,413,NO,53.0,51.8,52.4
2020-01-22,363,NO,56.5,53.5,55.0
2021-01-22,365,YES,51.0,51.5,51.25
2019-01-23,415,NO,52.5,52.0,52.25
2020-01-23,370,NO,55.0,52.8,53.9
2021-01-23,289,NO,51.0,51.2,51.1
2019-01-24,368,NO,57.0,52.7,54.85
2020-01-24,394,NO,56.0,54.0,55.0
2021-01-24,286,YES,47.5,50.0,48.75
2019-01-25,463,NO,57.0,54.0,55.5
2020-01-25,410,NO,59.0,56.3,57.65
2021-01-25,293,YES,47.5,49.3,48.4
2019-01-26,384,NO,58.0,54.6,56.3
2020-01-26,375,YES,55.0,56.3,55.65
2021-01-26,241,YES,45.0,46.4,45.7
2019-01-27,360,NO,59.0,56.5,57.75
2020-01-27,402,NO,54.5,53.7,54.1
2021-01-27,332,YES,49.0,51.6,50.3
2019-01-28,373,NO,60.0,55.8,57.9
2020-01-28,410,YES,54.5,55.1,54.8
2021-01-28,312,YES,50.0,51.5,50.75
2019-01-29,399,NO,56.5,54.4,55.45
2020-01-29,408,NO,53.5,53.3,53.4
2021-01-29,356,YES,48.5,49.8,49.15
2019-01-30,403,YES,57.0,53.7,55.35
2020-01-30,436,NO,57.0,55.6,56.3
2021-01-30,376,NO,52.0,52.0,52.0
2019-01-31,425,YES,56.5,55.0,55.75
2020-01-31,461,NO,59.0,54.1,56.55
2021-01-31,332,NO,55.0,55.0,55.0
2019-02-01,527,YES,55.5,54.8,55.15
2020-02-01,404,NO,57.5,53.1,55.3
2019-02-02,422,YES,54.5,53.4,53.95
2020-02-02,351,NO,50.0,51.9,50.95
2019-02-03,323,YES,52.5,52.6,52.55
2020-02-03,385,NO,49.0,48.5,48.75
2019-02-04,369,YES,46.5,48.3,47.4
2020-02-04,372,NO,50.5,50.3,50.4
2019-02-05,388,YES,45.0,45.2,45.1
2020-02-05,379,NO,52.5,49.4,50.95
2019-02-06,374,NO,48.0,47.7,47.85
2020-02-06,364,NO,56.5,51.9,54.2
2019-02-07,358,NO,49.0,46.9,47.95
2020-02-07,379,NO,54.5,51.0,52.75
2019-02-08,411,YES,48.5,47.6,48.05
2020-02-08,421,NO,54.0,52.5,53.25
2019-02-09,386,YES,49.5,48.5,49.0
2020-02-09,395,NO,55.0,55.6,55.3
2019-02-10,364,YES,45.0,45.8,45.4
2020-02-10,390,NO,62.5,58.4,60.45
2019-02-11,358,NO,48.5,46.0,47.25
2020-02-11,358,NO,65.0,59.1,62.05
2019-02-12,399,YES,48.5,47.4,47.95
2020-02-12,418,NO,58.5,54.1,56.3
2019-02-13,366,YES,53.5,53.8,53.65
2020-02-13,410,NO,51.0,51.1,51.05
2019-02-14,329,YES,55.0,54.5,54.75
2020-02-14,475,NO,54.5,52.5,53.5
2019-02-15,465,YES,50.0,48.9,49.45
2020-02-15,355,NO,55.5,53.3,54.4
2019-02-16,369,YES,48.0,48.3,48.15
2020-02-16,351,NO,54.0,53.5,53.75
2019-02-17,330,YES,47.5,47.9,47.7
2020-02-17,382,NO,58.5,54.6,56.55
2019-02-18,358,NO,49.0,47.3,48.15
2020-02-18,414,NO,58.0,55.6,56.8
2019-02-19,408,NO,49.5,48.3,48.9
2020-02-19,365,NO,55.0,52.4,53.7
2019-02-20,500,NO,50.5,50.4,50.45
2020-02-20,386,NO,57.5,55.3,56.4
2019-02-21,433,NO,49.5,49.8,49.65
2020-02-21,468,NO,61.0,58.2,59.6
2019-02-22,430,NO,50.0,49.1,49.55
2020-02-22,464,NO,54.5,55.2,54.85
2019-02-23,352,NO,49.0,48.1,48.55
2020-02-23,374,NO,53.5,53.3,53.4
2019-02-24,342,NO,52.5,51.3,51.9
2020-02-24,375,NO,57.0,53.6,55.3
2019-02-25,452,YES,52.5,53.9,53.2
2020-02-25,379,NO,62.5,59.7,61.1
2019-02-26,314,YES,55.0,54.5,54.75
2020-02-26,377,NO,63.0,58.9,60.95
2019-02-27,382,YES,54.5,54.1,54.3
2020-02-27,401,NO,64.0,59.9,61.95
2019-02-28,405,NO,52.5,51.0,51.75
2020-02-28,366,NO,58.0,56.7,57.35
2020-02-29,440,NO,51.5,52.0,51.75
2019-03-01,440,YES,52.0,50.1,51.05
2020-03-01,470,NO,52.5,53.1,52.8
2019-03-02,357,YES,53.0,53.0,53.0
2020-03-02,351,NO,62.5,60.4,61.45
2019-03-03,333,YES,53.5,54.2,53.85
2020-03-03,408,NO,62.5,59.8,61.15
2019-03-04,351,YES,52.5,52.0,52.25
2020-03-04,376,NO,62.5,58.8,60.65
2019-03-05,329,YES,53.5,53.7,53.6
2020-03-05,337,NO,56.5,55.6,56.05
2019-03-06,432,YES,54.0,54.6,54.3
2020-03-06,411,YES,53.0,54.4,53.7
2019-03-07,396,YES,51.0,50.8,50.9
2020-03-07,371,YES,52.0,51.4,51.7
2019-03-08,436,NO,50.0,49.9,49.95
2020-03-08,352,NO,51.0,52.0,51.5
2019-03-09,307,YES,50.5,49.0,49.75
2020-03-09,403,NO,57.0,56.1,56.55
2019-03-10,343,YES,51.5,49.7,50.6
2020-03-10,358,NO,61.5,60.2,60.85
2019-03-11,378,NO,54.0,51.8,52.9
2020-03-11,408,NO,58.0,59.0,58.5
2019-03-12,421,NO,53.0,52.8,52.9
2020-03-12,348,NO,54.5,55.2,54.85
2019-03-13,332,NO,54.5,52.0,53.25
2020-03-13,334,NO,55.5,54.9,55.2
2019-03-14,363,NO,55.5,53.4,54.45
2020-03-14,321,YES,50.0,51.1,50.55
2019-03-15,400,NO,58.0,54.6,56.3
2020-03-15,315,YES,50.0,51.1,50.55
2019-03-16,416,NO,59.5,55.8,57.65
2020-03-16,319,YES,48.0,48.8,48.4
2019-03-17,330,NO,60.5,56.7,58.6
2020-03-17,246,NO,49.5,49.0,49.25
2019-03-18,391,NO,62.0,57.0,59.5
2020-03-18,245,YES,51.0,51.4,51.2
2019-03-19,399,NO,59.5,57.6,58.55
2020-03-19,227,NO,53.0,53.2,53.1
2019-03-20,364,YES,55.5,55.0,55.25
2020-03-20,321,NO,56.0,54.0,55.0
2019-03-21,418,NO,54.5,53.3,53.9
2020-03-21,265,NO,56.0,54.9,55.45
2019-03-22,410,YES,53.0,53.6,53.3
2020-03-22,212,NO,59.0,56.6,57.8
2019-03-23,337,YES,54.0,54.8,54.4
2020-03-23,253,NO,52.5,53.0,52.75
2019-03-24,329,NO,56.5,54.0,55.25
2020-03-24,217,YES,53.5,52.1,52.8
2019-03-25,374,YES,57.0,55.5,56.25
2020-03-25,262,NO,50.0,50.6,50.3
2019-03-26,390,YES,56.5,55.5,56.0
2020-03-26,228,NO,50.0,50.8,50.4
2019-03-27,351,YES,57.0,57.6,57.3
2020-03-27,226,NO,51.5,53.0,52.25
2019-03-28,405,YES,58.0,55.8,56.9
2020-03-28,229,YES,54.0,53.7,53.85
2019-03-29,419,NO,54.0,53.8,53.9
2020-03-29,207,YES,54.5,54.0,54.25
2019-03-30,407,NO,56.5,55.2,55.85
2020-03-30,209,NO,56.0,55.5,55.75
2019-03-31,377,NO,61.0,56.9,58.95
2020-03-31,226,NO,57.0,56.0,56.5
2019-04-01,422,YES,57.5,56.9,57.2
2020-04-01,313,NO,52.5,54.1,53.3
2019-04-02,355,YES,56.5,56.3,56.4
2020-04-02,241,NO,53.0,52.8,52.9
2019-04-03,519,NO,56.0,56.0,56.0
2020-04-03,245,NO,52.5,52.7,52.6
2019-04-04,428,YES,58.0,56.3,57.15
2020-04-04,219,YES,51.5,53.3,52.4
2019-04-05,400,YES,58.0,57.3,57.65
2020-04-05,223,YES,51.0,52.8,51.9
2019-04-06,361,YES,60.5,59.6,60.05
2020-04-06,223,YES,48.0,47.6,47.8
2019-04-07,416,NO,61.5,60.4,60.95
2020-04-07,269,NO,53.0,50.3,51.65
2019-04-08,430,YES,62.0,60.7,61.35
2020-04-08,270,NO,54.0,55.0,54.5
2019-04-09,363,NO,57.0,57.0,57.0
2020-04-09,241,NO,56.5,56.8,56.65
2019-04-10,467,NO,56.5,56.7,56.6
2020-04-10,258,NO,56.5,57.0,56.75
2019-04-11,437,NO,56.0,54.7,55.35
2020-04-11,302,NO,53.5,54.4,53.95
2019-04-12,367,NO,57.0,55.6,56.3
2020-04-12,269,NO,56.5,55.2,55.85
2019-04-13,372,NO,59.5,56.4,57.95
2020-04-13,283,NO,57.5,56.1,56.8
2019-04-14,345,NO,53.5,53.3,53.4
2020-04-14,317,NO,62.5,60.8,61.65
2019-04-15,387,YES,53.0,53.7,53.35
2020-04-15,312,NO,60.5,58.8,59.65
2019-04-16,377,YES,55.5,55.4,55.45
2020-04-16,256,NO,54.0,55.4,54.7
2019-04-17,414,NO,57.5,56.8,57.15
2020-04-17,263,NO,55.5,56.5,56.0
2019-04-18,402,NO,63.0,60.1,61.55
2020-04-18,230,NO,58.0,57.9,57.95
2019-04-19,426,NO,55.5,56.8,56.15
2020-04-19,274,NO,57.5,57.3,57.4
2019-04-20,375,YES,54.5,54.2,54.35
2020-04-20,327,NO,55.5,56.8,56.15
2019-04-21,324,NO,56.0,54.6,55.3
2020-04-21,224,NO,57.0,56.2,56.6
2019-04-22,382,NO,61.5,58.5,60.0
2020-04-22,249,NO,59.5,58.9,59.2
2019-04-23,386,NO,68.0,67.0,67.5
2020-04-23,261,NO,61.0,59.6,60.3
2019-04-24,434,NO,65.0,63.5,64.25
2020-04-24,308,NO,64.0,61.5,62.75
2019-04-25,318,NO,56.0,56.6,56.3
2020-04-25,271,NO,62.0,62.5,62.25
2019-04-26,373,NO,57.5,57.8,57.65
2020-04-26,292,NO,55.5,58.9,57.2
2019-04-27,389,NO,56.5,58.3,57.4
2020-04-27,277,NO,59.5,59.8,59.65
2019-04-28,346,NO,55.5,55.8,55.65
2020-04-28,274,NO,62.5,59.6,61.05
2019-04-29,337,NO,56.5,58.0,57.25
2020-04-29,275,NO,56.5,57.5,57.0
2019-04-30,376,NO,56.5,57.1,56.8
2020-04-30,250,NO,57.5,56.8,57.15
2019-05-01,480,NO,57.5,58.4,57.95
2020-05-01,322,NO,57.5,58.6,58.05
2019-05-02,332,NO,58.0,58.4,58.2
2020-05-02,275,NO,58.5,59.9,59.2
2019-05-03,429,NO,55.5,56.3,55.9
2020-05-03,254,NO,56.0,56.5,56.25
2019-05-04,341,NO,54.5,54.9,54.7
2020-05-04,309,NO,58.5,58.0,58.25
2019-05-05,413,NO,55.0,55.6,55.3
2020-05-05,344,NO,57.0,58.1,57.55
2019-05-06,429,NO,55.5,56.7,56.1
2020-05-06,273,NO,61.5,60.7,61.1
2019-05-07,402,NO,57.0,57.5,57.25
2020-05-07,278,NO,64.5,62.7,63.6
2019-05-08,381,NO,57.0,60.1,58.55
2020-05-08,287,NO,63.5,60.3,61.9
2019-05-09,373,NO,57.5,59.0,58.25
2020-05-09,256,NO,55.5,56.2,55.85
2019-05-10,387,NO,58.0,59.4,58.7
2020-05-10,258,NO,58.0,58.8,58.4
2019-05-11,368,NO,57.0,58.2,57.6
2020-05-11,257,YES,60.5,59.6,60.05
2019-05-12,356,NO,56.0,57.1,56.55
2020-05-12,287,YES,58.5,58.8,58.65
2019-05-13,395,NO,56.0,57.1,56.55
2020-05-13,291,YES,58.0,59.5,58.75
2019-05-14,394,NO,57.5,59.0,58.25
2020-05-14,304,YES,58.5,61.2,59.85
2019-05-15,396,YES,58.0,59.5,58.75
2020-05-15,319,YES,59.5,59.4,59.45
2019-05-16,367,YES,54.5,55.6,55.05
2020-05-16,294,NO,62.0,63.0,62.5
2019-05-17,402,NO,55.5,57.0,56.25
2020-05-17,272,YES,63.0,62.8,62.9
2019-05-18,390,YES,54.0,54.1,54.05
2020-05-18,294,YES,59.0,58.9,58.95
2019-05-19,388,YES,54.5,55.8,55.15
2020-05-19,345,NO,58.5,59.5,59.0
2019-05-20,401,YES,56.0,56.0,56.0
2020-05-20,344,NO,59.0,58.8,58.9
2019-05-21,304,YES,55.5,56.0,55.75
2020-05-21,324,NO,60.0,59.5,59.75
2019-05-22,447,NO,58.5,58.2,58.35
2020-05-22,347,NO,59.0,58.2,58.6
2019-05-23,370,NO,58.0,60.4,59.2
2020-05-23,289,NO,61.0,59.7,60.35
2019-05-24,479,NO,58.0,58.9,58.45
2020-05-24,259,NO,62.5,62.0,62.25
2019-05-25,399,NO,57.5,57.5,57.5
2020-05-25,282,NO,68.0,67.3,67.65
2019-05-26,395,YES,54.0,55.2,54.6
2020-05-26,301,NO,68.5,71.4,69.95
2019-05-27,349,NO,55.0,56.4,55.7
2020-05-27,267,NO,63.0,65.1,64.05
2019-05-28,404,NO,57.0,57.6,57.3
2020-05-28,316,NO,57.5,58.8,58.15
2019-05-29,385,NO,59.5,57.6,58.55
2020-05-29,298,NO,60.0,61.2,60.6
2019-05-30,420,NO,53.5,55.5,54.5
2020-05-30,486,YES,63.0,64.6,63.8
2019-05-31,426,NO,58.0,57.5,57.75
2020-05-31,450,NO,59.0,60.5,59.75
2019-06-01,459,NO,57.5,59.4,58.45
2020-06-01,440,NO,60.5,61.7,61.1
2019-06-02,365,NO,58.0,60.2,59.1
2020-06-02,286,NO,67.0,68.7,67.85
2019-06-03,416,NO,57.0,58.7,57.85
2020-06-03,328,NO,70.0,68.8,69.4
2019-06-04,407,NO,62.0,63.0,62.5
2020-06-04,284,NO,64.0,64.9,64.45
2019-06-05,389,NO,63.0,62.0,62.5
2020-06-05,288,NO,58.0,58.4,58.2
2019-06-06,389,NO,56.0,57.0,56.5
2020-06-06,257,NO,58.5,58.6,58.55
2019-06-07,437,NO,59.0,59.0,59.0
2020-06-07,278,NO,57.0,58.6,57.8
2019-06-08,369,NO,68.0,68.4,68.2
2020-06-08,292,NO,61.5,62.0,61.75
2019-06-09,315,NO,76.0,75.2,75.6
2020-06-09,313,NO,64.0,64.3,64.15
2019-06-10,393,NO,84.5,79.0,81.75
2020-06-10,289,NO,63.5,62.8,63.15
2019-06-11,415,NO,80.0,78.3,79.15
2020-06-11,286,NO,61.5,62.7,62.1
2019-06-12,432,NO,68.5,71.9,70.2
2020-06-12,351,NO,59.0,60.1,59.55
2019-06-13,371,NO,59.0,62.3,60.65
2020-06-13,270,NO,60.0,61.2,60.6
2019-06-14,385,NO,57.5,58.2,57.85
2020-06-14,253,NO,60.5,62.0,61.25
2019-06-15,411,NO,55.5,56.8,56.15
2020-06-15,308,NO,61.5,61.6,61.55
2019-06-16,333,NO,55.5,58.2,56.85
2020-06-16,292,NO,60.0,60.2,60.1
2019-06-17,385,NO,59.5,62.1,60.8
2020-06-17,322,NO,66.5,66.8,66.65
2019-06-18,391,NO,59.5,62.5,61.0
2020-06-18,280,NO,69.0,67.8,68.4
2019-06-19,440,NO,60.5,62.9,61.7
2020-06-19,347,NO,58.5,61.8,60.15
2019-06-20,394,NO,60.0,63.1,61.55
2020-06-20,272,NO,58.5,60.6,59.55
2019-06-21,404,NO,60.5,61.6,61.05
2020-06-21,223,NO,59.5,61.6,60.55
2019-06-22,379,NO,63.0,64.8,63.9
2020-06-22,295,NO,60.5,63.2,61.85
